0 Plate  2 x  2 with Towball Socket
0 Name: 3730.dat
0 Author: Remco Braak
0 !LDRAW_ORG Part UPDATE 2009-02
0 !LICENSE Redistributable under CCAL version 2.0 : see CAreadme.txt

0 BFC CERTIFY CW

0 !HISTORY 1997-09-29 [PTadmin] Official Update 1997-15
0 !HISTORY 2007-06-29 [PTadmin] Header formatted for Contributor Agreement
0 !HISTORY 2008-07-01 [PTadmin] Official Update 2008-01
0 !HISTORY 2008-07-07 [tchang] Add BFC, build or rebuild some faces and edges, split 4 non planar faces, oriented studs, add some conditional lines (2008-03-14)
0 !HISTORY 2009-05-29 [Eldar] Fix wrong color lines
0 !HISTORY 2009-09-03 [PTadmin] Official Update 2009-02

2 24 -2 -3.75 -26 -2 -3.75 -37.5
2 24 -2 -3.75 -37.5 -2 -6.82 -36.5
2 24 -2 -6.82 -36.5 -2 -7.83 -33.5
2 24 -2 -7.83 -33.5 -2 -7.83 -26
2 24 -2 -7.83 -26 2 -7.83 -26
2 24 2 -7.83 -26 2 -7.83 -33.5
2 24 2 -7.83 -33.5 2 -6.82 -36.5
2 24 2 -6.82 -36.5 2 -3.75 -37.5
2 24 2 -3.75 -37.5 2 -3.75 -26
2 24 2 -3.75 -26 -2 -3.75 -26
2 24 -2 -3.75 -26 -2 -7.83 -26
2 24 2 -3.75 -26 2 -7.83 -26
3 16 -2 -3.75 -37.5 -2 -6.82 -36.5 -2 -3.75 -26
4 16 -2 -6.82 -36.5 -2 -7.83 -33.5 -2 -7.83 -26 -2 -3.75 -26
3 16 2 -3.75 -26 2 -6.82 -36.5 2 -3.75 -37.5
4 16 2 -3.75 -26 2 -7.83 -26 2 -7.83 -33.5 2 -6.82 -36.5
4 16 -2 -3.75 -26 -2 -7.83 -26 2 -7.83 -26 2 -3.75 -26
0
2 24 -2 11.75 -26 -2 11.75 -37.5
2 24 -2 11.75 -37.5 -2 14.82 -36.5
2 24 -2 14.82 -36.5 -2 14.82 -26
2 24 -2 14.82 -26 2 14.82 -26
2 24 2 14.82 -26 2 14.82 -36.5
2 24 2 14.82 -36.5 2 11.75 -37.5
2 24 2 11.75 -37.5 2 11.75 -26
2 24 2 11.75 -26 -2 11.75 -26
2 24 -2 11.75 -26 -2 14.82 -26
2 24 2 11.75 -26 2 14.82 -26
4 16 -2 14.82 -26 -2 14.82 -36.5 -2 11.75 -37.5 -2 11.75 -26
4 16 2 11.75 -26 2 11.75 -37.5 2 14.82 -36.5 2 14.82 -26
4 16 2 11.75 -26 2 14.82 -26 -2 14.82 -26 -2 11.75 -26
0
2 24 -11.83 6 -28 -11.83 6 -33.5
2 24 -11.83 6 -33.5 -11.31 8 -34.5
2 24 -11.31 8 -34.5 -10.25 8 -36.5
2 24 -10.25 8 -36.5 -6.93 8 -37.5
2 24 -6.93 8 -37.5 -6.93 8 -34.5
2 24 -6.93 8 -34.5 -7.75 6 -33.5
2 24 -7.75 6 -33.5 -7.75 6 -28
2 24 -7.75 6 -28 -11.83 6 -28
2 24 -7.75 6 -33.5 -11.83 6 -33.5
2 24 -6.93 8 -34.5 -11.31 8 -34.5
2 24 -11.83 6 -28 -11.83 2 -28
2 24 -7.75 6 -28 -7.75 2 -28
2 24 -11.83 2 -28 -11.83 2 -33.5
2 24 -11.83 2 -33.5 -11.31 0 -34.5
2 24 -11.31 0 -34.5 -10.25 0 -36.5
