0 Wheel Rim  6.4 x  8
0 Name: 4624.dat
0 Author: James Jessiman
0 !LDRAW_ORG Part UPDATE 2012-02
0 !LICENSE Redistributable under CCAL version 2.0 : see CAreadme.txt

0 BFC CERTIFY CCW

0 !HISTORY 1998-09-15 [PTadmin] Official Update 1998-08
0 !HISTORY 1999-05-17 [PTadmin] Official Update 1999-03
0 !HISTORY 2007-07-08 [PTadmin] Header formatted for Contributor Agreement
0 !HISTORY 2008-07-01 [PTadmin] Official Update 2008-01
0 !HISTORY 2008-07-07 [DeannaEarley] BFC'd and used some primitives (2005-08-28)
0 !HISTORY 2008-07-08 [technog] corrected inside dimensions, more primitives (2006-01-08)
0 !HISTORY 2012-01-11 [Steffen] changed comments
0 !HISTORY 2012-08-09 [PTadmin] Official Update 2012-02

0 // Nomenclature: width_(mm) x rim_diameter_(mm) [optional qualifier]

2 24 6 0 8 5.701 -1.5 8
2 24 3.701 -1.5 8 3.695 -1.531 8
1 16 0 0 8 3.696 0 -1.531 -1.531 0 -3.696 0 1 0 1-8edge.dat
2 24 1.531 -3.695 8 1.5 -3.701 8
2 24 1.5 -5.701 8 0 -6 8
2 24 0 -6 8 -1.5 -5.701 8
2 24 -1.5 -3.701 8 -1.531 -3.695 8
1 16 0 0 8 -1.531 0 -3.696 -3.696 0 1.531 0 1 0 1-8edge.dat
2 24 -3.695 -1.531 8 -3.701 -1.5 8
2 24 -5.701 -1.5 8 -6 0 8
2 24 -6 0 8 -5.701 1.5 8
2 24 -3.701 1.5 8 -3.695 1.531 8
1 16 0 0 8 -3.696 0 1.531 1.531 0 3.696 0 1 0 1-8edge.dat
2 24 -1.531 3.695 8 -1.5 3.701 8
2 24 -1.5 5.701 8 0 6 8
2 24 0 6 8 1.5 5.701 8
2 24 1.5 3.701 8 1.531 3.695 8
1 16 0 0 8 1.531 0 3.696 3.696 0 -1.531 0 1 0 1-8edge.dat
2 24 3.695 1.531 8 3.701 1.5 8
2 24 5.701 1.5 8 6 0 8
1 16 0 0 8 10 0 0 0 0 10 0 1 0 4-4edge.dat
1 16 0 0 4 10 0 0 0 0 10 0 1 0 4-4edge.dat
1 16 0 0 2 8 0 0 0 0 8 0 1 0 4-4edge.dat
1 16 0 0 -2 8 0 0 0 0 8 0 1 0 4-4edge.dat
1 16 0 0 -4 10 0 0 0 0 10 0 1 0 4-4edge.dat
2 24 3.701 -1.5 -2 3.695 -1.531 -2
1 16 0 0 -2 3.696 0 -1.531 -1.531 0 -3.696 0 1 0 1-8edge.dat
2 24 1.531 -3.695 -2 1.5 -3.701 -2
2 24 -1.5 -3.701 -2 -1.531 -3.695 -2
1 16 0 0 -2 -1.531 0 -3.696 -3.696 0 1.531 0 1 0 1-8edge.dat
2 24 -3.695 -1.531 -2 -3.701 -1.5 -2
2 24 -3.701 1.5 -2 -3.695 1.531 -2
1 16 0 0 -2 -3.696 0 1.531 1.531 0 3.696 0 1 0 1-8edge.dat
2 24 -1.531 3.695 -2 -1.5 3.701 -2
2 24 1.5 3.701 -2 1.531 3.695 -2
1 16 0 0 -2 1.531 0 3.696 3.696 0 -1.531 0 1 0 1-8edge.dat
2 24 3.695 1.531 -2 3.701 1.5 -2
2 24 5.701 -1.5 -2 5.543 -2.296 -2
1 16 0 0 -2 5.543 0 -2.296 -2.296 0 -5.543 0 1 0 1-8edge.dat
2 24 2.296 -5.543 -2 1.5 -5.701 -2
2 24 -1.5 -5.701 -2 -2.296 -5.543 -2
1 16 0 0 -2 -2.296 0 -5.543 -5.543 0 2.296 0 1 0 1-8edge.dat
2 24 -5.543 -2.296 -2 -5.701 -1.5 -2
2 24 -5.701 1.5 -2 -5.543 2.296 -2
1 16 0 0 -2 -5.543 0 2.296 2.296 0 5.543 0 1 0 1-8edge.dat
2 24 -2.296 5.543 -2 -1.5 5.701 -2
2 24 1.5 5.701 -2 2.296 5.543 -2
1 16 0 0 -2 2.296 0 5.543 5.543 0 -2.296 0 1 0 1-8edge.dat
2 24 5.543 2.296 -2 5.701 1.5 -2
2 24 5.701 -1.5 -5 3.701 -1.5 -5
2 24 3.701 -1.5 -5 3.695 -1.531 -5
1 16 0 0 -5 3.696 0 -1.531 -1.531 0 -3.696 0 1 0 1-8edge.dat
2 24 1.531 -3.695 -5 1.5 -3.701 -5
2 24 1.5 -3.701 -5 1.5 -5.701 -5
2 24 -1.5 -5.701 -5 -1.5 -3.701 -5
2 24 -1.5 -3.701 -5 -1.531 -3.695 -5
1 16 0 0 -5 -1.531 0 -3.696 -3.696 0 1.531 0 1 0 1-8edge.dat
2 24 -3.695 -1.531 -5 -3.701 -1.5 -5
2 24 -3.701 -1.5 -5 -5.701 -1.5 -5
2 24 -5.701 1.5 -5 -3.701 1.5 -5
2 24 -3.701 1.5 -5 -3.695 1.531 -5
1 16 0 0 -5 -3.696 0 1.531 1.531 0 3.696 0 1 0 1-8edge.dat
2 24 -1.531 3.695 -5 -1.5 3.701 -5
2 24 -1.5 3.701 -5 -1.5 5.701 -5
2 24 1.5 5.701 -5 1.5 3.701 -5
2 24 1.5 3.701 -5 1.531 3.695 -5
1 16 0 0 -5 1.531 0 3.696 3.696 0 -1.531 0 1 0 1-8edge.dat
2 24 3.695 1.531 -5 3.701 1.5 -5
2 24 3.701 1.5 -5 5.701 1.5 -5
1 16 0 0 -5 6 0 0 0 0 6 0 1 0 4-4edge.dat
2 24 8.202 -1.5 -8 3.701 -1.5 -8
2 24 3.701 -1.5 -8 3.695 -1.531 -8
1 16 0 0 -8 3.696 0 -1.531 -1.531 0 -3.696 0 1 0 1-8edge.dat
2 24 1.531 -3.695 -8 1.5 -3.701 -8
2 24 1.5 -3.701 -8 1.5 -8.202 -8
2 24 -1.5 -8.202 -8 -1.5 -3.701 -8
2 24 -1.5 -3.701 -8 -1.531 -3.695 -8
1 16 0 0 -8 -1.531 0 -3.696 -3.696 0 1.531 0 1 0 1-8edge.dat
2 24 -3.695 -1.531 -8 -3.701 -1.5 -8
2 24 -3.701 -1.5 -8 -8.202 -1.5 -8
2 24 -8.202 1.5 -8 -3.701 1.5 -8
2 24 -3.701 1.5 -8 -3.695 1.531 -8
1 16 0 0 -8 -3.696 0 1.531 1.531 0 3.696 0 1 0 1-8edge.dat
2 24 -1.531 3.695 -8 -1.5 3.701 -8
2 24 -1.5 3.701 -8 -1.5 8.202 -8
2 24 1.5 8.202 -8 1.5 3.701 -8
2 24 1.5 3.701 -8 1.531 3.695 -8
1 16 0 0 -8 1.531 0 3.696 3.696 0 -1.531 0 1 0 1-8edge.dat
2 24 3.695 1.531 -8 3.701 1.5 -8
2 24 3.701 1.5 -8 8.202 1.5 -8
2 24 8.202 -1.5 -8 7.853 -3.253 -8
1 16 0 0 -8 7.853 0 -3.253 -3.253 0 -7.853 0 1 0 1-8edge.dat
2 24 3.253 -7.853 -8 1.5 -8.202 -8
2 24 -1.5 -8.202 -8 -3.253 -7.853 -8
1 16 0 0 -8 -3.253 0 -7.853 -7.853 0 3.253 0 1 0 1-8edge.dat
2 24 -7.853 -3.283 -8 -8.202 -1.5 -8
2 24 -8.202 1.5 -8 -7.853 3.253 -8
1 16 0 0 -8 -7.853 0 3.253 3.253 0 7.853 0 1 0 1-8edge.dat
2 24 -3.253 7.853 -8 -1.5 8.202 -8
2 24 1.5 8.202 -8 3.253 7.853 -8
1 16 0 0 -8 3.253 0 7.853 7.853 0 -3.253 0 1 0 1-8edge.dat
2 24 7.853 3.253 -8 8.202 1.5 -8
1 16 0 0 -8 10 0 0 0 0 10 0 1 0 4-4edge.dat
1 16 4.701 1.5 3 0 0 1 0 1 0 5 0 0 rect.dat
1 16 4.701 -1.5 3 0 0 1 0 -1 0 5 0 0 rect.dat
1 16 1.5 -4.701 3 0 1 0 0 0 1 5 0 0 rect.dat
1 16 -1.5 -4.701 3 0 -1 0 0 0 1 5 0 0 rect.dat
1 16 -4.701 -1.5 3 0 0 1 0 -1 0 5 0 0 rect.dat
1 16 -4.701 1.5 3 0 0 1 0 1 0 5 0 0 rect.dat
1 16 -1.5 4.701 3 0 -1 0 0 0 1 5 0 0 rect.dat
1 16 1.5 4.701 3 0 1 0 0 0 1 5 0 0 rect.dat
2 24 5.701 -1.5 -5 8.202 -1.5 -8
2 24 3.701 -1.5 -5 3.701 -1.5 -8
2 24 1.5 -3.701 -5 1.5 -3.701 -8
2 24 1.5 -5.701 -5 1.5 -8.202 -8
2 24 -1.5 -5.701 -5 -1.5 -8.202 -8
2 24 -1.5 -3.701 -5 -1.5 -3.701 -8
2 24 -3.701 -1.5 -5 -3.701 -1.5 -8
2 24 -5.701 -1.5 -5 -8.202 -1.5 -8
2 24 -5.701 1.5 -5 -8.202 1.5 -8
2 24 -3.701 1.5 -5 -3.701 1.5 -8
2 24 -1.5 3.701 -5 -1.5 3.701 -8
2 24 -1.5 5.701 -5 -1.5 8.202 -8
2 24 1.5 5.701 -5 1.5 8.202 -8
2 24 1.5 3.701 -5 1.5 3.701 -8
2 24 3.701 1.5 -5 3.701 1.5 -8
2 24 5.701 1.5 -5 8.202 1.5 -8
0 // Back edge
1 16 0 0 8 2 0 0 0 0 2 0 -1 0 4-4ring4.dat
1 16 0 0 8 2 0 0 0 0 2 0 -1 0 4-4ring3.dat
4 16 3.701 -1.5 8 3.695 -1.531 8 5.543 -2.296 8 5.701 -1.5 8
1 16 0 0 8 1.848 0 -0.765 -0.765 0 -1.848 0 -1 0 1-8ring2.dat
4 16 1.531 -3.695 8 1.5 -3.701 8 1.5 -5.701 8 2.296 -5.543 8
4 16 -1.5 -3.701 8 -1.531 -3.695 8 -2.296 -5.543 8 -1.5 -5.701 8
1 16 0 0 8 -0.765 0 -1.848 -1.848 0 0.765 0 -1 0 1-8ring2.dat
4 16 -3.695 -1.531 8 -3.701 -1.5 8 -5.701 -1.5 8 -5.543 -2.296 8
4 16 -3.701 1.5 8 -3.695 1.531 8 -5.543 2.296 8 -5.701 1.5 8
1 16 0 0 8 -1.848 0 0.765 0.765 0 1.848 0 -1 0 1-8ring2.dat
4 16 -1.531 3.695 8 -1.5 3.701 8 -1.5 5.701 8 -2.296 5.543 8
4 16 1.5 3.701 8 1.531 3.695 8 2.296 5.543 8 1.5 5.701 8
1 16 0 0 8 0.765 0 1.848 1.848 0 -0.765 0 -1 0 1-8ring2.dat
4 16 3.695 1.531 8 3.701 1.5 8 5.701 1.5 8 5.543 2.296 8
0 // Shaft inside end
4 16 5.701 -1.5 -2 5.543 -2.296 -2 3.695 -1.531 -2 3.701 -1.5 -2
1 16 0 0 -2 1.848 0 -0.765 -0.765 0 -1.848 0 1 0 1-8ring2.dat
4 16 2.296 -5.543 -2 1.5 -5.701 -2 1.5 -3.701 -2 1.531 -3.695 -2
4 16 -1.5 -5.701 -2 -2.296 -5.543 -2 -1.531 -3.695 -2 -1.5 -3.701 -2
1 16 0 0 -2 -0.765 0 -1.848 -1.848 0 0.765 0 1 0 1-8ring2.dat
4 16 -5.543 -2.296 -2 -5.701 -1.5 -2 -3.701 -1.5 -2 -3.695 -1.531 -2
4 16 -5.701 1.5 -2 -5.543 2.296 -2 -3.695 1.531 -2 -3.701 1.5 -2
1 16 0 0 -2 -1.848 0 0.765 0.765 0 1.848 0 1 0 1-8ring2.dat
4 16 -2.296 5.543 -2 -1.5 5.701 -2 -1.5 3.701 -2 -1.531 3.695 -2
4 16 1.5 5.701 -2 2.296 5.543 -2 1.531 3.695 -2 1.5 3.701 -2
1 16 0 0 -2 0.765 0 1.848 1.848 0 -0.765 0 1 0 1-8ring2.dat
4 16 5.543 2.296 -2 5.701 1.5 -2 3.701 1.5 -2 3.695 1.531 -2
0 // Front
